Date,AAPL close,AAPL signal,Cash,AAPL shorted,AAPL bought,AAPL cash,AAPL sold,Daily_Ret
2000-11-13,0.3459821343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-14,0.3616071343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-15,0.3549107015132904,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-16,0.3392857015132904,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-17,0.3303571343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-20,0.3381696343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-21,0.3359375,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-22,0.3303571343421936,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-24,0.3448660671710968,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-27,0.3337053656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-28,0.3219866156578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-29,0.3136160671710968,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-11-30,0.2946428656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-12-01,0.3046875,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-12-04,0.2979910671710968,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-12-05,0.3035714328289032,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-12-06,0.2555803656578064,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-12-07,0.2555803656578064,-1,15587.125617601823,0,0,15587.125617601823,0,-0.24422437823265697
2000-12-08,0.2689732015132904,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-11,0.2712053656578064,1,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-12,0.2745535671710968,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-13,0.2678571343421936,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-14,0.2578125,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-15,0.2511160671710968,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-18,0.2544642984867096,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-19,0.25,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-20,0.2566964328289032,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-21,0.2511160671710968,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-22,0.2678571343421936,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-26,0.2622767984867096,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-27,0.2645089328289032,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-28,0.2645089328289032,0,15587.125617601823,0,0,15587.125617601823,0,0.0
2000-12-29,0.265625,0,15587.125617601823,0,0,15587.125617601823,0,0.0
